year_film,year_ceremony,ceremony,category,name,film,winner
1929,1930,3,OUTSTANDING PRODUCTION,Universal,All Quiet on the Western Front,True
1929,1930,3,OUTSTANDING PRODUCTION,Cosmopolitan,The Big House,False
1929,1930,3,OUTSTANDING PRODUCTION,Warner Bros.,Disraeli,False
1929,1930,3,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,The Divorcee,False
1929,1930,3,OUTSTANDING PRODUCTION,Paramount Famous Lasky,The Love Parade,False
1930,1931,4,OUTSTANDING PRODUCTION,RKO Radio,Cimarron,True
1930,1931,4,OUTSTANDING PRODUCTION,Fox,East Lynne,False
1930,1931,4,OUTSTANDING PRODUCTION,The Caddo Company,The Front Page,False
1930,1931,4,OUTSTANDING PRODUCTION,Paramount Publix,Skippy,False
1930,1931,4,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,Trader Horn,False
1931,1932,5,OUTSTANDING PRODUCTION,Samuel Goldwyn Productions,Arrowsmith,False
1931,1932,5,OUTSTANDING PRODUCTION,Fox,Bad Girl,False
1931,1932,5,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,The Champ,False
1931,1932,5,OUTSTANDING PRODUCTION,First National,Five Star Final,False
1931,1932,5,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,Grand Hotel,True
1931,1932,5,OUTSTANDING PRODUCTION,Paramount Publix,One Hour with You,False
1931,1932,5,OUTSTANDING PRODUCTION,Paramount Publix,Shanghai Express,False
1931,1932,5,OUTSTANDING PRODUCTION,Paramount Publix,The Smiling Lieutenant,False
1932,1933,6,OUTSTANDING PRODUCTION,Fox,Cavalcade,True
1932,1933,6,OUTSTANDING PRODUCTION,Paramount,A Farewell to Arms,False
1932,1933,6,OUTSTANDING PRODUCTION,Warner Bros.,42nd Street,False
1932,1933,6,OUTSTANDING PRODUCTION,Warner Bros.,I Am a Fugitive from a Chain Gang,False
1932,1933,6,OUTSTANDING PRODUCTION,Columbia,Lady for a Day,False
1932,1933,6,OUTSTANDING PRODUCTION,RKO Radio,Little Women,False
1932,1933,6,OUTSTANDING PRODUCTION,London Films,The Private Life of Henry VIII,False
1932,1933,6,OUTSTANDING PRODUCTION,Paramount,She Done Him Wrong,False
1932,1933,6,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,Smilin' Through,False
1932,1933,6,OUTSTANDING PRODUCTION,Fox,State Fair,False
1934,1935,7,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,The Barretts of Wimpole Street,False
1934,1935,7,OUTSTANDING PRODUCTION,Paramount,Cleopatra,False
1934,1935,7,OUTSTANDING PRODUCTION,First National,Flirtation Walk,False
1934,1935,7,OUTSTANDING PRODUCTION,RKO Radio,The Gay Divorcee,False
1934,1935,7,OUTSTANDING PRODUCTION,Warner Bros.,Here Comes the Navy,False
1934,1935,7,OUTSTANDING PRODUCTION,20th Century,The House of Rothschild,False
1934,1935,7,OUTSTANDING PRODUCTION,Universal,Imitation of Life,False
1934,1935,7,OUTSTANDING PRODUCTION,Columbia,It Happened One Night,True
1934,1935,7,OUTSTANDING PRODUCTION,Columbia,One Night of Love,False
1934,1935,7,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,The Thin Man,False
1934,1935,7,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,Viva Villa!,False
1934,1935,7,OUTSTANDING PRODUCTION,Jesse L. Lasky (production company),The White Parade,False
1935,1936,8,OUTSTANDING PRODUCTION,RKO Radio,Alice Adams,False
1935,1936,8,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,Broadway Melody of 1936,False
1935,1936,8,OUTSTANDING PRODUCTION,Cosmopolitan,Captain Blood,False
1935,1936,8,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,David Copperfield,False
1935,1936,8,OUTSTANDING PRODUCTION,RKO Radio,The Informer,False
1935,1936,8,OUTSTANDING PRODUCTION,20th Century,Les Miserables,False
1935,1936,8,OUTSTANDING PRODUCTION,Paramount,The Lives of a Bengal Lancer,False
1935,1936,8,OUTSTANDING PRODUCTION,Warner Bros.,A Midsummer Night's Dream,False
1935,1936,8,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,Mutiny on the Bounty,True
1935,1936,8,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,Naughty Marietta,False
1935,1936,8,OUTSTANDING PRODUCTION,Paramount,Ruggles of Red Gap,False
1935,1936,8,OUTSTANDING PRODUCTION,RKO Radio,Top Hat,False
1936,1937,9,OUTSTANDING PRODUCTION,Warner Bros.,Anthony Adverse,False
1936,1937,9,OUTSTANDING PRODUCTION,Samuel Goldwyn Productions,Dodsworth,False
1936,1937,9,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,The Great Ziegfeld,True
1936,1937,9,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,Libeled Lady,False
1936,1937,9,OUTSTANDING PRODUCTION,Columbia,Mr. Deeds Goes to Town,False
1936,1937,9,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,Romeo and Juliet,False
1936,1937,9,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,San Francisco,False
1936,1937,9,OUTSTANDING PRODUCTION,Cosmopolitan,The Story of Louis Pasteur,False
