OscarsWinner,Runtime,Metascore,imdbRating,imdbVotes,BoxOffice,GlobesWinner,Fantasy,Action,Adventure,Animation,Romance,Musical,Biography,Family,Comedy,Sci-Fi,Film-Noir,War,Sport,Music,Drama,Mystery,Thriller,History,Western,Crime,Horror,Rated_Approved,Rated_G,Rated_Not Rated,Rated_PG,Rated_PG-13,Rated_Passed,Rated_R,Rated_Unrated,Rated_X,year_ceremony_1945,year_ceremony_1946,year_ceremony_1948,year_ceremony_1949,year_ceremony_1951,year_ceremony_1953,year_ceremony_1955,year_ceremony_1957,year_ceremony_1958,year_ceremony_1959,year_ceremony_1960,year_ceremony_1961,year_ceremony_1962,year_ceremony_1963,year_ceremony_1964,year_ceremony_1965,year_ceremony_1966,year_ceremony_1967,year_ceremony_1968,year_ceremony_1969,year_ceremony_1970,year_ceremony_1971,year_ceremony_1972,year_ceremony_1973,year_ceremony_1974,year_ceremony_1975,year_ceremony_1976,year_ceremony_1977,year_ceremony_1978,year_ceremony_1979,year_ceremony_1980,year_ceremony_1981,year_ceremony_1982,year_ceremony_1983,year_ceremony_1984,year_ceremony_1985,year_ceremony_1986,year_ceremony_1987,year_ceremony_1988,year_ceremony_1989,year_ceremony_1990,year_ceremony_1991,year_ceremony_1992,year_ceremony_1993,year_ceremony_1994,year_ceremony_1995,year_ceremony_1996,year_ceremony_1997,year_ceremony_1998,year_ceremony_1999,year_ceremony_2000,year_ceremony_2001,year_ceremony_2002,year_ceremony_2003,year_ceremony_2004,year_ceremony_2005,year_ceremony_2006,year_ceremony_2007,year_ceremony_2008,year_ceremony_2009,year_ceremony_2010,year_ceremony_2011,year_ceremony_2012,year_ceremony_2013,year_ceremony_2014,year_ceremony_2015,year_ceremony_2016,year_ceremony_2017,year_ceremony_2018,year_ceremony_2019,year_ceremony_2020
1,-0.25502248241007375,0.6659804865991211,-1.441614030268065,-0.7685649542314879,-0.8049965611823456,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-1.2504970411435055,-3.331113673650225,0.4638571178833173,-0.7086001434149665,-0.8049965611823456,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-0.5735743412047719,-3.331113673650225,-1.0181759973455353,-0.7581321408872442,-0.8049965611823456,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-1.2106780587941683,-3.331113673650225,0.04041908496078773,-0.7858302374913732,-0.8049965611823456,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-1.170859076444831,-3.331113673650225,-0.38301894796174185,-0.7701810174750079,-0.8049965611823456,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-1.8876007587329018,0.6215683292630172,0.6755761343445811,-0.5522829599457594,-0.8049965611823456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-0.9717641646981446,0.7103926439352249,0.887295150805845,-0.43346935385781993,-0.8049965611823456,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.6961076527074526,-0.26667481745905974,-2.0767710796518584,-0.7317273494667481,-0.3978160353340272,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.7314011937902216,0.399507542582498,-0.171299931500478,-0.7041565377313072,-0.48646681712480644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.5811761469260089,-3.331113673650225,-1.441614030268065,-0.7809047676619667,-0.5500239938058986,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
