Response,Error,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,totalSeasons
True,,Disraeli,1929,Passed,01 Nov 1929,90 min,"Biography, Drama, History",Alfred E. Green,"Julien Josephson, De Leon Anthony, Louis N. Parker","George Arliss, Doris Lloyd, David Torrence",Prime Minister of Great Britain Benjamin Disraeli outwits the subterfuge of the Russians and chicanery at home in order to secure the purchase of the Suez Canal.,English,United States,Won 1 Oscar. 4 wins & 2 nominations total,https://m.media-amazon.com/images/M/MV5BMWI3MTAwMDEtNjJiNC00NTVkLTkzNTUtZTBkNGViMzc5NmIxXkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}]",N/A,6.1,"1,338",tt0019823,movie,29 Apr 2008,N/A,A & E,N/A,
True,,The Love Parade,1929,Passed,18 Jan 1930,107 min,"Comedy, Musical, Romance",Ernst Lubitsch,"Ernest Vajda, Guy Bolton, Leon Xanrof","Maurice Chevalier, Jeanette MacDonald, Lupino Lane","The queen of mythical Sylvania marries a courtier, who finds his new life unsatisfying.","English, French",United States,Nominated for 6 Oscars. 1 win & 6 nominations total,https://m.media-amazon.com/images/M/MV5BNDYyZDJlYTYtMjkwYS00MTM3LTkyNmUtOTZlZGUzMTUyMWE0XkEyXkFqcGdeQXVyNjA5MTAzODY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,7.0,"2,500",tt0020112,movie,N/A,N/A,N/A,N/A,
True,,Arrowsmith,1931,Approved,26 Dec 1931,108 min,Drama,John Ford,"Sinclair Lewis, Sidney Howard","Ronald Colman, Helen Hayes, Richard Bennett","A medical researcher is sent to a plague outbreak, where he has to decide priorities for the use of a vaccine.","English, Italian, Swedish",United States,Nominated for 4 Oscars. 4 nominations total,https://m.media-amazon.com/images/M/MV5BMWE3MDVmMjAtODUwMy00NjAwLTk2YWEtNTA1MGE3OTY0OTFmXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}]",N/A,6.2,"1,862",tt0021622,movie,27 Mar 2020,N/A,N/A,N/A,
True,,Bad Girl,1931,Passed,13 Sep 1931,90 min,"Drama, Romance",Frank Borzage,"Viña Delmar, Brian Marlow, Edwin J. Burke","James Dunn, Sally Eilers, Minna Gombell","A man and woman, skeptical about romance, nonetheless fall in love and are wed, but their lack of confidence in the opposite sex haunts their marriage.",English,United States,Won 2 Oscars. 2 wins & 1 nomination total,https://m.media-amazon.com/images/M/MV5BMjI2NDAwNDAyM15BMl5BanBnXkFtZTcwNjM1MjQxMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",N/A,6.5,"1,504",tt0021635,movie,23 Mar 2017,N/A,N/A,N/A,
True,,The Champ,1931,Passed,21 Nov 1931,86 min,"Drama, Family, Sport",King Vidor,"Frances Marion, Wanda Tuchock, Don Marquis","Wallace Beery, Jackie Cooper, Irene Rich",An alcoholic ex-boxer struggles to provide a good living for his son.,English,United States,Won 2 Oscars. 2 wins & 3 nominations total,https://m.media-amazon.com/images/M/MV5BNTU4M2JiNTUtNmIzOS00ZWE3LTljZmItZjc1NDA2MDQyZThjXkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}]",N/A,7.3,"3,416",tt0021730,movie,21 Nov 2016,N/A,N/A,N/A,
True,,Five Star Final,1931,Not Rated,26 Sep 1931,89 min,"Crime, Drama, Music",Mervyn LeRoy,"Louis Weitzenkorn, Byron Morgan, Robert Lord","Edward G. Robinson, Marian Marsh, H.B. Warner",The City Editor of a sleazy tabloid goes against his own journalistic ethics to resurrect a twenty year old murder case... with tragic results.,English,United States,Nominated for 1 Oscar. 1 nomination total,https://m.media-amazon.com/images/M/MV5BN2Q3ZTg2MGUtYmNmYy00YjgxLThlYTMtZjkyM2I5YWNlNzhhXkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}]",N/A,7.3,"2,387",tt0021873,movie,18 Nov 2016,N/A,N/A,N/A,
True,,The Smiling Lieutenant,1931,Passed,01 Aug 1931,93 min,"Comedy, Musical, Romance",Ernst Lubitsch,"Ernest Vajda, Samson Raphaelson, Leopold Jacobson","Maurice Chevalier, Claudette Colbert, Miriam Hopkins","An amorous lieutenant is forced to marry a socially awkward princess, though he tries to keep his violin-playing girlfriend on the side.","English, French",United States,Nominated for 1 Oscar. 1 nomination total,https://m.media-amazon.com/images/M/MV5BZmIzMGMwOGQtYjY3YS00NmRhLTkxMjctZmYyNWIyYzc2NGVhXkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}]",N/A,7.2,"4,024",tt0022074,movie,N/A,N/A,N/A,N/A,
True,,A Farewell to Arms,1932,Unrated,08 Dec 1932,80 min,"Drama, Romance, War",Frank Borzage,"Benjamin Glazer, Oliver H.P. Garrett, Ernest Hemingway","Gary Cooper, Helen Hayes, Adolphe Menjou",An American ambulance driver and an English nurse fall in love in Italy during World War I.,"English, Italian, Latin, French",United States,Won 2 Oscars. 4 wins & 2 nominations total,https://m.media-amazon.com/images/M/MV5BMzM2ODc0NTY3OF5BMl5BanBnXkFtZTgwMjQwNzkzMjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}]",N/A,6.4,"6,525",tt0022879,movie,04 Jan 2016,N/A,N/A,N/A,
True,,I Am a Fugitive from a Chain Gang,1932,Passed,19 Nov 1932,92 min,"Crime, Drama, Film-Noir",Mervyn LeRoy,"Robert E. Burns, Howard J. Green, Brown Holmes","Paul Muni, Glenda Farrell, Helen Vinson","Wrongly convicted James Allen serves in the intolerable conditions of a Southern chain gang, which later comes back to haunt him.",English,United States,Nominated for 3 Oscars. 4 wins & 3 nominations total,https://m.media-amazon.com/images/M/MV5BMDllMDA4YWQtYzdmNC00OGYxLWE0N2QtZmNjM2QxMTgxYzFkXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}]",N/A,8.2,"14,053",tt0023042,movie,01 Jan 2009,N/A,N/A,N/A,
True,,Smilin' Through,1932,Approved,24 Sep 1932,98 min,"Drama, Romance",Sidney Franklin,"Jane Cowl, Jane Murfin, Ernest Vajda","Norma Shearer, Fredric March, Leslie Howard",The adoptive father of a young woman is horrified to learn she plans to marry the son of the man who accidentally killed her aunt years before.,"French, English",United States,Nominated for 1 Oscar. 2 wins & 1 nomination total,https://m.media-amazon.com/images/M/MV5BZDg4YzE3MmItYmI4Zi00YjY2LWI4YjMtOTc3OTRiMjE4ZGMyXkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}]",N/A,6.9,"1,490",tt0023488,movie,11 Sep 2015,N/A,N/A,N/A,
True,,The Barretts of Wimpole Street,1934,Passed,21 Sep 1934,109 min,"Biography, Drama, Romance",Sidney Franklin,"Rudolph Besier, Ernest Vajda, Claudine West","Norma Shearer, Fredric March, Charles Laughton","Elizabeth Barrett's tyrannical father has forbidden any of his family to marry. Nevertheless, Elizabeth falls in love with the poet Robert Browning.",English,United States,Nominated for 2 Oscars. 1 win & 2 nominations total,https://m.media-amazon.com/images/M/MV5BY2Q4ZDBkMzEtNWM4ZC00MDRjLWIwNDItZTNkYWZjOGE5MjYwXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '78%'}]",N/A,6.9,"2,026",tt0024865,movie,17 Mar 2017,N/A,N/A,N/A,
True,,Cleopatra,1934,Passed,05 Oct 1934,100 min,"Biography, Drama, History",Cecil B. DeMille,"Waldemar Young, Vincent Lawrence, Bartlett Cormack","Claudette Colbert, Warren William, Henry Wilcoxon","The man-hungry Queen of Egypt leads Julius Caesar and Marc Antony astray, amid scenes of DeMillean splendor.",English,United States,Won 1 Oscar. 2 wins & 4 nominations total,https://m.media-amazon.com/images/M/MV5BMjgzMTgwNTI1M15BMl5BanBnXkFtZTgwMTgxNjk3MjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '82%'}]",N/A,6.8,"4,432",tt0024991,movie,N/A,N/A,N/A,N/A,
True,,Flirtation Walk,1934,Passed,01 Dec 1934,97 min,Musical,Frank Borzage,"Delmer Daves, Louis F. Edelman","Dick Powell, Ruby Keeler, Pat O'Brien","A Musical-romance with Dick Powell as a private stationed in Hawaii who gets involved with Ruby Keeler, the general's engaged daughter. In order to avoid a scandal, the pair break up, but meet again years later when Powell's at We...",English,United States,Nominated for 2 Oscars. 2 nominations total,https://m.media-amazon.com/images/M/MV5BMTcwODg1OTE3OF5BMl5BanBnXkFtZTgwMDY0NDIwMjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,5.6,806,tt0025124,movie,N/A,N/A,N/A,N/A,
